COBERTURA,PERIODICIDAD,FECHA,CONCEPTO,VALOR,UNIDAD_MEDIDA,ESTATUS
Nacional,Mensual,01/01/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.52544068,Índice,Cifras definitivas
Nacional,Mensual,01/02/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.67412245,Índice,Cifras definitivas
Nacional,Mensual,01/03/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.01293041,Índice,Cifras definitivas
Nacional,Mensual,01/04/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.1051442,Índice,Cifras definitivas
Nacional,Mensual,01/05/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.93055967,Índice,Cifras definitivas
Nacional,Mensual,01/06/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",53.9751124,Índice,Cifras definitivas
Nacional,Mensual,01/07/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.0533387,Índice,Cifras definitivas
Nacional,Mensual,01/08/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.21548991,Índice,Cifras definitivas
Nacional,Mensual,01/09/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.53823816,Índice,Cifras definitivas
Nacional,Mensual,01/10/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",54.73820739,Índice,Cifras definitivas
Nacional,Mensual,01/11/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.19254161,Índice,Cifras definitivas
Nacional,Mensual,01/12/2003,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.42981079,Índice,Cifras definitivas
Nacional,Mensual,01/01/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",55.77431735,Índice,Cifras definitivas
Nacional,Mensual,01/02/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.10794476,Índice,Cifras definitivas
Nacional,Mensual,01/03/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.29807094,Índice,Cifras definitivas
Nacional,Mensual,01/04/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.38303195,Índice,Cifras definitivas
Nacional,Mensual,01/05/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.24160294,Índice,Cifras definitivas
Nacional,Mensual,01/06/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.33174451,Índice,Cifras definitivas
Nacional,Mensual,01/07/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.47939018,Índice,Cifras definitivas
Nacional,Mensual,01/08/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",56.82804118,Índice,Cifras definitivas
Nacional,Mensual,01/09/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",57.29791705,Índice,Cifras definitivas
Nacional,Mensual,01/10/2004,"Índice nacional de precios al consumidor (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)",57.69474717,Índice,Cifras definitivas
