Año,Mes,Nacional
2000,1,4
2000,2,4.04
2000,3,4.07
2000,4,4.1
2000,5,4.14
2000,6,4.17
2000,7,4.2
2000,8,4.22
2000,9,4.24
2000,10,4.26
2000,11,4.28
2000,12,4.3
2001,1,4.31
2001,2,4.33
2001,3,4.35
2001,4,4.36
2001,5,4.38
2001,6,4.39
2001,7,4.42
2001,8,4.44
2001,9,4.46
2001,10,4.5
2001,11,4.53
2001,12,4.57
2002,1,4.6
2002,2,4.63
2002,3,4.66
2002,4,4.7
2002,5,4.73
2002,6,4.77
2002,7,4.8
2002,8,4.83
2002,9,4.85
2002,10,4.87
2002,11,4.9
2002,12,4.91
2003,1,4.93
2003,2,4.94
2003,3,4.95
2003,4,4.97
2003,5,4.99
2003,6,5.01
2003,7,5.02
2003,8,5.05
2003,9,5.08
2003,10,5.1
2003,11,5.13
2003,12,5.16
2004,1,5.19
2004,2,5.22
2004,3,5.26
2004,4,5.3
2004,5,5.33
2004,6,5.36
2004,7,5.4
2004,8,5.42
2004,9,5.46
2004,10,5.48
2004,11,5.5
2004,12,5.52
2005,1,5.54
2005,2,5.55
2005,3,5.57
2005,4,5.59
2005,5,5.61
2005,6,5.62
2005,7,5.64
2005,8,5.66
2005,9,5.68
2005,10,5.71
2005,11,5.72
2005,12,5.76
2006,1,5.78
2006,2,5.82
2006,3,5.85
2006,4,5.89
2006,5,5.93
2006,6,5.96
2006,7,5.99
2006,8,6.03
2006,9,6.05
2006,10,6.08
2006,11,6.11
2006,12,6.13
2007,1,8.914917588
2007,2,8.697604304
2007,3,8.670153192
2007,4,8.666528636
2007,5,8.673592957
2007,6,8.685619333
2007,7,8.6875614
2007,8,8.689521
2007,9,8.690735
2007,10,8.6938684
2007,11,8.69303525
2007,12,8.6920904
2008,1,8.736346538
2008,2,8.767915583
2008,3,8.768940727
2008,4,8.780245385
2008,5,8.804563833
2008,6,8.860303462
2008,7,8.923983846
2008,8,9.031345692
2008,9,9.131666231
2008,10,9.185553214
2008,11,9.209447
2008,12,9.208638857
2009,1,9.235879846
2009,2,9.266133273
2009,3,9.291229083
2009,4,9.337425167
2009,5,9.370699333
2009,6,9.387217154
2009,7,9.406958071
2009,8,9.399873077
2009,9,9.39844075
2009,10,9.494904385
2009,11,9.562834909
2009,12,9.6370742
2010,1,9.742591083
2010,2,9.779253182
2010,3,9.802714231
2010,4,9.8187685
2010,5,9.835693083
2010,6,9.846373615
2010,7,9.847860077
2010,8,9.846844846
2010,9,9.845578818
2010,10,9.846259308
2010,11,9.863373833
2010,12,9.932142714
2011,1,10.10156077
2011,2,10.27382136
2011,3,10.59254675
2011,4,10.84838208
2011,5,10.944319
2011,6,10.98907977
2011,7,11.03355038
2011,8,11.05115436
2011,9,11.083252
2011,10,11.14296131
2011,11,11.19373755
2011,12,11.29389962
2012,1,11.81684846
2012,2,12.11040925
2012,3,12.16425733
2012,4,12.18195883
2012,5,12.14448293
2012,6,12.15178486
2012,7,12.25824669
2012,8,12.28284043
2012,9,12.29704158
2012,10,12.29948836
2012,11,12.29317742
2012,12,12.32894323
2013,1,12.36961808
2013,2,12.37477536
2013,3,12.36838115
2013,4,12.398924
2013,5,12.41074831
2013,6,12.41891817
2013,7,12.41644671
2013,8,12.41122585
2013,9,12.40758883
2013,10,12.42115862
2013,11,12.25275921
2013,12,12.71182036
2014,1,12.45097085
2014,2,12.45959764
2014,3,12.45719892
2014,4,12.446869
2014,5,12.43839933
2014,6,12.55201279
2014,7,12.44201438
2014,8,12.397103
2014,9,12.43933785
2014,10,12.44256879
2014,11,12.44431382
2014,12,12.44443614
2015,1,12.45419546
2015,2,12.46200518
2015,3,12.47320883
2015,4,12.488457
2015,5,12.48175775
2015,6,12.48480708
2015,7,12.48595914
2015,8,12.482487
2015,9,12.4974105
2015,10,12.50826008
2015,11,12.51294373
2015,12,12.51410942
2016,1,12.53172358
2016,2,12.61458967
2016,3,12.69417291
2016,4,12.71657685
2016,5,12.72349231
2016,6,12.82704007
2016,7,12.73429077
2016,8,12.5066476
2016,9,12.74204483
2016,10,12.75380785
2016,11,12.79613918
2016,12,12.81302515
2017,1,13.17941662
2017,2,13.79264809
2017,3,13.89773208
2017,4,13.90838573
2017,5,13.91145533
2017,6,13.91650438
2017,7,13.920503
2017,8,13.941384
2017,9,13.95475477
2017,10,13.98061185
2017,11,14.00435183
2017,12,14.01186217
2018,1,14.06356885
2018,2,14.11457045
2018,3,14.141085
2018,4,14.19385108
2018,5,14.20379885
2018,6,14.21544715
2018,7,14.22639954
2018,8,14.24862393
2018,9,14.27815558
2018,10,14.30644757
2018,11,14.32812936
2018,12,14.40480231
2019,1,14.35755131
2019,2,14.39459582
2019,3,14.499933
2019,4,14.6562155
2019,5,14.70982885
2019,6,14.69311533
2019,7,14.77504029
2019,8,14.72327723
2019,9,14.75393183
2019,10,14.84973392
2019,11,15.03950842
2019,12,15.05612533
2020,1,15.14402262
2020,2,15.24899173
2020,3,15.28966508
2020,4,15.45148433
2020,5,15.46354333
2020,6,13.85188246
2020,7,14.66317317
2020,8,15.37250754
2020,9,15.63754692
2020,10,15.656698
2020,11,15.68314045
2020,12,15.56220975
2021,1,15.53761867
2021,2,15.70107218
2021,3,15.99657969
2021,4,16.21503692
2021,5,16.77917492
2021,6,17.26119108
2021,7,17.69138069
2021,8,18.40410331
2021,9,18.45467062
2021,10,18.51172446
2021,11,18.58733017
2021,12,18.70675671
2022,1,18.72981369
2022,2,18.82928355
2022,3,19.3991055
2022,4,20.097771
2022,5,20.33470362
2022,6,20.494274
2022,7,20.67688485
2022,8,21.13118857
2022,9,21.53028683
2022,10,21.82757938
2022,11,21.98786236
2022,12,22.06271615
2023,1,22.15656277
2023,2,22.19897318
2023,3,22.39647877
2023,4,22.59395527
2023,5,22.63923183
2023,6,22.69721723
2023,7,22.78324246
2023,8,22.83502985
2023,9,22.90447262
2023,10,22.91917538
2023,11,22.92104233
2023,12,22.92588142
2024,1,22.94242015
2024,2,22.97552009
2024,3,22.97666991
2024,4,23.01777177
2024,5,23.04566442
2024,6,23.03953508
2024,7,23.08823243
2024,8,23.13928492
2024,9,23.14032975
2024,10,23.14678362
2024,11,23.16884467
2024,12,23.16783383
2025,1,23.18863992
2025,2,23.18643318
2025,3,23.34322092
2025,4,23.68435417
2025,5,23.70396125
2025,6,23.72344423
2025,7,23.77196531
2025,8,23.775698
2025,9,23.78014008
2025,10,23.79689807
2025,11,23.77591818
2025,12,23.786114
2026,1,23.90562315
2026,2,24.04479845
2026,3,24.119832
2026,4,24.34575377
2026,5,25.01930045
