Ano,Mes,Temperatura_celsius_prom_nacional,Lluvia_mm_prom_nacional,Precio_diesel_automotriz_mxplitro_prom_nacional,Indice_severidad_ponderada_sequia_prom_nacional,Precio_maizblanco_mxpkilo_prom_nacional,INPC_prom_nacional,Produccion_maizblanco_kg_prom_nacional,Precio_prom_CBOT_mxpkilo_maiz_internacional,Tipo_cambio_mxpdolar_prom_nacional,Demanda_maizblanco_kg_prom_nacional,Costo_transporte_maiz_mxpkilo_prom_nac
2000,1,16.6,20.21,5.12,43.12,2.05,43.201,2850400000,0.92,9.48,1625000000,0.22
2000,2,18.3,15.02,5.15,44.28,2.06,43.587,850200000,0.91,9.44,1627000000,0.22
2000,3,21.8,18.95,5.19,46.24,2.09,43.831,410100000,0.89,9.31,1630000000,0.23
2000,4,24.4,27.95,5.22,56.12,2.12,44.081,380600000,0.92,9.38,1628000000,0.23
2000,5,26.7,56.54,5.26,53.83,2.14,44.244,1520100000,1,9.52,1632000000,0.23
2000,6,26.4,176.81,5.29,55.59,2.11,44.401,3890300000,0.99,9.81,1635000000,0.23
2000,7,25,264.17,5.33,44.92,2.15,44.577,2100500000,0.84,9.47,1633000000,0.24
2000,8,25,238.68,5.36,48.71,2.13,44.789,620400000,0.74,9.29,1636000000,0.24
2000,9,24.6,231.39,5.4,37.54,2.12,45.122,510300000,0.78,9.36,1640000000,0.24
2000,10,22.7,122.11,5.43,31.79,2.08,45.432,980200000,0.84,9.51,1638000000,0.24
2000,11,20.3,37.1,5.47,32.98,2.07,45.823,2910800000,0.9,9.62,1642000000,0.24
2000,12,17.2,29.65,5.5,44.81,2.06,46.319,3450600000,0.89,9.45,1645000000,0.25
2001,1,16.4,21.08,5.53,49.69,2.1,46.574,2910200000,0.93,9.75,1650000000,0.25
2001,2,18.1,13.77,5.5,42.73,2.12,46.541,860500000,0.92,9.69,1652000000,0.25
2001,3,22,20.71,5.47,43.97,2.15,46.744,420300000,0.9,9.57,1655000000,0.25
2001,4,24.4,26.32,5.44,59.24,2.18,46.977,390100000,0.83,9.33,1653000000,0.25
2001,5,26.4,56.31,5.41,63.22,2.2,47.085,1540600000,0.8,9.15,1657000000,0.25
2001,6,26.3,197.54,5.38,57.57,2.17,47.199,3920800000,0.8,9.08,1660000000,0.25
2001,7,25,231.5,5.35,39.45,2.21,47.081,2130400000,0.84,9.23,1658000000,0.26
2001,8,25,255.36,5.32,42.65,2.19,47.359,630200000,0.85,9.14,1661000000,0.26
2001,9,24.6,235.33,5.29,31.88,2.18,47.801,520100000,0.85,9.41,1665000000,0.26
2001,10,23,122.25,5.26,33.01,2.14,48.019,990700000,0.82,9.3,1663000000,0.26
2001,11,20.1,34.22,5.23,36.12,2.13,48.232,2950400000,0.82,9.26,1667000000,0.26
2001,12,17.1,29.7,5.2,45.78,2.12,48.514,3490200000,0.83,9.16,1670000000,0.27
2002,1,16.5,18.52,4.7,48.54,2.15,48.961,2950800000,0.84,9.16,1675000000,0.27
2002,2,18,13.76,4.72,47.62,2.17,48.932,880100000,0.82,9.13,1677000000,0.27
2002,3,22.1,20.47,4.74,40.92,2.2,49.182,430400000,0.81,9.04,1680000000,0.27
2002,4,24.4,26.43,4.75,50.78,2.24,49.403,400300000,0.82,9.21,1678000000,0.27
2002,5,26.5,49.66,4.77,54.79,2.26,49.521,1580200000,0.86,9.5,1682000000,0.27
2002,6,26.1,177.8,4.79,52.63,2.23,49.632,3990500000,0.93,9.82,1685000000,0.28
2002,7,25.2,211.49,4.81,43.42,2.27,49.771,2180100000,1.03,9.75,1683000000,0.28
2002,8,24.9,213.78,4.83,45.99,2.25,49.923,650600000,1.15,9.86,1686000000,0.28
2002,9,24.7,230.48,4.85,33.52,2.24,50.219,530400000,1.23,10.12,1690000000,0.28
2002,10,22.8,107.47,4.86,33.65,2.19,50.443,1020300000,1.12,10.15,1688000000,0.28
2002,11,20.2,34.52,4.88,32.96,2.18,50.712,3010900000,1.07,10.22,1692000000,0.29
2002,12,16.8,31.73,4.9,47.18,2.17,50.994,3550700000,1.06,10.21,1695000000,0.29
2003,1,16.4,17.96,4.9,95.86,2.2,51.192,3020400000,1.08,10.42,1700000000,0.29
2003,2,18,13.72,4.92,95.09,2.22,51.332,910300000,1.14,10.96,1702000000,0.29
2003,3,22.1,20.49,4.94,95,2.26,51.523,440700000,1.12,10.9,1705000000,0.3
2003,4,24.2,29.27,4.95,115.86,2.29,51.644,410500000,1.12,10.63,1703000000,0.3
2003,5,26.5,63.54,4.97,118.42,2.32,51.721,1610900000,1.11,10.22,1707000000,0.3
2003,6,26.1,170.43,4.99,116.66,2.28,51.819,4050200000,1.11,10.53,1710000000,0.3
2003,7,25,236.41,5.01,95.71,2.33,51.912,2210800000,1.01,10.43,1708000000,0.3
2003,8,25.1,219.28,5.03,92.97,2.3,52.109,660100000,1.03,10.73,1711000000,0.31
2003,9,24.8,232.44,5.05,70.83,2.29,52.421,550600000,1.07,10.94,1715000000,0.31
2003,10,22.9,111.73,5.06,73.87,2.24,52.664,1040400000,1.1,11.08,1713000000,0.31
2003,11,20.3,38.49,5.08,70.06,2.23,53.111,3080200000,1.17,11.19,1717000000,0.31
2003,12,17,29.73,5.1,94.92,2.22,53.519,3620100000,1.21,11.23,1720000000,0.32
2004,1,16.4,17.22,5.15,44.68,2.26,53.843,3100500000,1.24,10.95,1725000000,0.32
2004,2,18.2,15.39,5.19,44.31,2.28,54.123,930400000,1.34,11.04,1727000000,0.32
2004,3,22,18.6,5.23,43.94,2.31,54.341,450200000,1.45,11.01,1730000000,0.32
2004,4,24.1,28.93,5.27,60.08,2.35,54.432,420900000,1.52,11.33,1732000000,0.32
2004,5,26.4,58.34,5.31,59.04,2.37,54.544,1650400000,1.51,11.51,1735000000,0.32
2004,6,26.1,161.95,5.35,49.19,2.34,54.671,4120700000,1.37,11.41,1738000000,0.33
2004,7,25.1,233.42,5.4,43.23,2.39,54.712,2260300000,1.21,11.44,1736000000,0.33
2004,8,25.1,229.76,5.44,47.29,2.36,55.031,680900000,1.12,11.38,1740000000,0.33
2004,9,24.6,199.18,5.48,30.78,2.35,55.431,560800000,1.09,11.41,1744000000,0.33
2004,10,22.7,116.81,5.52,35.49,2.3,55.772,1070100000,1.02,11.36,1742000000,0.34
2004,11,20.2,35.29,5.56,35.46,2.29,56.123,3150600000,0.99,11.3,1746000000,0.34
2004,12,17,30.07,5.6,46.21,2.28,56.319,3710400000,0.99,11.18,1750000000,0.34
2005,1,16.5,20.76,5.65,93.35,2.4,56.541,3150200000,0.98,11.26,1755000000,0.34
2005,2,18.2,16.02,5.7,93.55,2.41,56.711,940800000,0.97,11.16,1757000000,0.35
2005,3,22,15.85,5.75,92.72,2.44,56.921,460500000,1,11.13,1760000000,0.35
2005,4,24.2,25.88,5.79,119.01,2.47,57.112,430100000,1,11.11,1762000000,0.35
2005,5,26.6,62.3,5.84,117.92,2.48,57.243,1680700000,0.99,10.98,1765000000,0.35
2005,6,26.3,169.21,5.89,120.43,2.45,57.381,4190200000,1.01,10.84,1768000000,0.35
2005,7,25.1,231.15,5.94,98.55,2.47,57.441,2290900000,1.04,10.69,1766000000,0.36
2005,8,25.2,231.14,5.99,94.23,2.46,57.611,690400000,1.01,10.65,1770000000,0.36
2005,9,24.6,233.28,6.04,73.16,2.45,57.912,580200000,0.97,10.79,1774000000,0.36
2005,10,23,115.84,6.08,70.71,2.41,58.113,1090600000,0.96,10.82,1772000000,0.36
2005,11,20.3,37.65,6.13,71.2,2.42,58.344,3210100000,0.93,10.68,1776000000,0.36
2005,12,17,26.75,6.18,90.98,2.42,58.541,3780500000,0.96,10.63,1780000000,0.37
2006,1,16.4,20.18,6.2,95.86,2.5,58.841,3220600000,0.99,10.54,1785000000,0.37
2006,2,18,14.87,6.22,92.89,2.53,59.112,960300000,1.01,10.51,1787000000,0.37
2006,3,22.1,16.83,6.25,94.02,2.58,59.221,470900000,1.04,10.73,1790000000,0.37
2006,4,24.4,28.37,6.27,115.46,2.64,59.341,440500000,1.13,11.02,1792000000,0.37
2006,5,26.3,58.41,6.29,117.6,2.68,59.451,1710200000,1.19,11.18,1795000000,0.37
2006,6,26.2,157.84,6.31,123.25,2.62,59.562,4250800000,1.18,11.39,1798000000,0.38
2006,7,24.9,238.98,6.34,97.66,2.7,59.712,2330400000,1.21,11.03,1796000000,0.38
2006,8,25.1,231.15,6.36,96.32,2.66,60.113,710100000,1.17,10.88,1800000000,0.38
2006,9,24.6,230.44,6.38,72.6,2.64,60.441,590700000,1.22,11.01,1804000000,0.38
2006,10,22.7,118.54,6.4,68.77,2.56,60.672,1120300000,1.47,10.89,1802000000,0.39
2006,11,20.1,38.54,6.43,69.73,2.54,61.001,3280900000,1.68,10.93,1806000000,0.39
2006,12,16.8,29.43,6.45,94.58,2.52,61.223,3850200000,1.77,10.86,1810000000,0.39
2007,1,16.6,20.39,6.48,44.86,3.1,61.441,3290400000,1.93,10.94,1815000000,0.39
2007,2,18.2,13.29,6.43,47.91,3.15,61.631,980100000,2.01,11.01,1817000000,0.4
2007,3,21.8,18.55,6.38,42.26,3.22,61.821,480600000,1.92,11.12,1820000000,0.4
2007,4,24.3,29.68,6.33,62.89,3.3,61.942,450200000,1.77,10.99,1822000000,0.4
2007,5,26.4,58.43,6.28,51.36,3.35,62.012,1750800000,1.74,10.83,1825000000,0.4
2007,6,26,160.78,6.23,54.08,3.28,62.113,4320100000,1.79,10.81,1828000000,0.4
2007,7,25.2,253.77,6.18,44.85,3.38,62.331,2380700000,1.61,10.79,1826000000,0.41
2007,8,24.8,225.41,6.13,46.7,3.34,62.612,720500000,1.61,11.05,1830000000,0.41
2007,9,24.8,220.47,6.08,36.61,3.31,62.941,610300000,1.65,11.02,1834000000,0.41
2007,10,22.8,114.84,6.03,34.67,3.2,63.123,1150900000,1.71,10.82,1832000000,0.41
2007,11,20.1,37.34,5.98,33.45,3.18,63.541,3350400000,1.8,10.87,1836000000,0.42
2007,12,17,29.06,5.93,42.3,3.15,63.812,3920800000,1.95,10.84,1840000000,0.42
2008,1,16.3,19.79,5.93,44.31,3.25,64.123,3360200000,2.15,10.91,1845000000,0.42
2008,2,17.9,15.01,6.08,44.59,3.29,64.331,1010500000,2.32,10.77,1847000000,0.43
2008,3,21.8,20,6.23,44.8,3.36,64.612,490300000,2.45,10.74,1850000000,0.43
2008,4,24.3,28.52,6.38,59.23,3.44,64.811,460100000,2.63,10.52,1852000000,0.43
2008,5,26.7,55.76,6.53,52.03,3.48,64.921,1790400000,2.65,10.44,1855000000,0.43
2008,6,26.2,167.2,6.68,54.88,3.41,65.112,4390900000,3.05,10.33,1858000000,0.44
2008,7,25,264.8,6.83,45.66,3.52,65.413,2420200000,2.78,10.24,1856000000,0.44
2008,8,25.1,206.17,6.98,42.42,3.47,65.811,740800000,2.46,10.22,1860000000,0.44
2008,9,24.8,239.56,7.13,35.31,3.44,66.123,620600000,2.48,10.67,1864000000,0.45
2008,10,22.7,123.94,7.28,33.32,3.33,66.411,1180100000,2.18,12.58,1862000000,0.45
2008,11,20,41.42,7.43,33.45,3.3,66.812,3420700000,2.08,13.06,1866000000,0.46
2008,12,16.9,27.81,7.58,47.91,3.27,67.114,3990500000,2.05,13.23,1870000000,0.46
2009,1,16.6,18.67,7.73,46.56,3.35,67.411,3410900000,2.22,13.91,1872000000,0.47
2009,2,17.9,13.27,7.73,46.56,3.39,67.612,1020400000,2.27,14.62,1874000000,0.47
2009,3,22.1,19.61,7.73,43.33,3.46,67.811,500800000,2.34,14.71,1877000000,0.47
2009,4,24.4,26.28,7.73,57.65,3.55,67.921,470300000,2.21,13.42,1879000000,0.47
2009,5,26.4,58.21,7.73,53.3,3.6,68.011,1820100000,2.31,13.19,1882000000,0.48
2009,6,26.2,195.53,7.73,54.41,3.52,68.123,4450600000,2.33,13.43,1885000000,0.48
2009,7,24.9,234.21,7.73,41.27,3.63,68.311,2460800000,1.96,13.37,1883000000,0.48
2009,8,25.1,200.81,7.73,48.94,3.58,68.541,750200000,1.79,13.01,1886000000,0.48
2009,9,24.8,217.29,7.73,33.68,3.55,68.912,630900000,1.85,13.41,1890000000,0.49
2009,10,22.8,117.69,7.73,33.23,3.43,69.112,1210400000,2.09,13.24,1888000000,0.49
2009,11,20.2,33.91,7.73,33.43,3.4,69.411,3490100000,2.17,13.11,1892000000,0.49
2009,12,17,28.75,7.73,44.02,3.37,69.813,4060300000,2.17,12.85,1895000000,0.49
2010,1,16.2,18.93,7.93,43.27,3.42,70.123,3430200000,2.09,12.8,1898000000,0.5
2010,2,17.9,15.09,8.01,48.28,3.46,70.331,1030100000,2.04,12.96,1900000000,0.5
2010,3,22.1,19.31,8.09,45.9,3.54,70.512,510400000,1.96,12.59,1903000000,0.51
2010,4,24.3,28.14,8.17,50.33,3.63,70.611,480900000,1.85,12.23,1905000000,0.51
2010,5,26.4,58.55,8.25,55.56,3.68,70.712,1840600000,1.98,12.72,1908000000,0.51
2010,6,26.3,156.39,8.33,55.72,3.6,70.823,4490200000,1.87,12.63,1911000000,0.51
2010,7,25.1,232.35,8.41,44.9,4.02,71.011,2490100000,2.08,12.75,1909000000,0.52
2010,8,25.1,221.93,8.49,44.39,4.12,71.311,760500000,2.27,12.82,1912000000,0.52
2010,9,24.7,223.68,8.57,33.92,4.2,71.612,640300000,2.65,12.84,1916000000,0.52
2010,10,22.7,108.39,8.65,32.39,3.95,71.911,1230800000,2.98,12.44,1914000000,0.53
2010,11,20.4,37.37,8.73,33.73,3.8,72.312,3530400000,2.89,12.33,1918000000,0.53
2010,12,17,31.05,8.81,42.42,3.75,72.613,4110900000,3.16,12.38,1921000000,0.54
2011,1,16.5,20.27,8.89,200.21,3.9,73.011,3390500000,3.24,12.13,1924000000,0.54
