_id,AÑO,CVE_ENT,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION
37602,2002,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,148906,46202,102704,31383,0.68,1467.39,46050980
39569,2003,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,53764,51401,2363,58660,1.14,1608.19,94336580
39781,2003,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,2167.5,2147.5,20,14542.45,6.77,1456.4,21179660
39845,2003,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,158330,138054.5,20275.5,189206.83,1.37,1568.65,296798750
40059,2003,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,264305.12,263018.62,1286.5,638978.23,2.43,1540.3,984217270
40141,2003,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,126970.39,42659.39,84311,172290.66,4.04,1505.64,259407900
40365,2003,11,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,239608.9,215068.51,24540.39,897668.86,4.17,1561.91,1402076480
40461,2003,12,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,216902.5,213946.5,2956,508792.7,2.38,2353.61,1197500280
40679,2003,14,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,262635.2,249448.4,13186.8,1380626.31,5.53,1556.54,2148999410
40805,2003,15,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,80470,80445,25,238306.27,2.96,2084.75,496807910
40971,2003,16,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,215906.35,209426.78,6479.57,577605.14,2.76,1457.17,841670420
41200,2003,18,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,28220.75,28203.25,17.5,140770.78,4.99,1607.8,226330810
41278,2003,19,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,220.8,134.3,86.5,121.61,0.91,1200,145930
41374,2003,20,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,141707,84735,56972,110701.5,1.31,2748.08,304216270
41492,2003,21,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,10,10,0,35,3.5,3300,115500
41687,2003,24,San Luis Potosí,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,88653.67,67203.92,21449.75,65277.19,0.97,1693.6,110553320
41773,2003,25,Sinaloa,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,359343.07,347629.07,11714,2727831.9,7.85,1393.23,3800487700
41886,2003,26,Sonora,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,1426,1330,96,7315,5.5,1200,8778000
42018,2003,28,Tamaulipas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,29045,26601,2444,42082.9,1.58,1610.28,67765290
42172,2003,30,Veracruz,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,68425.5,54448,13977.5,76186.01,1.4,1683.23,128238240
42256,2003,31,Yucatán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,35546.5,29196,6350.5,36570.7,1.25,1525.06,55772600
42400,2004,1,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,53056,48124,4932,49059,1.02,1620.8,79514810
42487,2004,2,Baja California,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,592,10,582,25,2.5,2020,50500
42611,2004,3,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,8043.25,7535.75,507.5,38301.15,5.08,1457.51,55824330
42672,2004,4,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,151284,132305,18979,272186.18,2.06,1505.79,409855800
42728,2004,5,Coahuila,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,39557.32,37693.5,1863.82,50848.75,1.35,2224.99,113138160
42801,2004,6,Colima,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,11982.5,11982.5,0,35962.85,3,1769.85,63648990
42875,2004,7,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,896818.36,842685.03,54133.33,1327573.11,1.58,1745.93,2317853500
42956,2004,8,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,208200.64,133367.12,74833.52,277764.41,2.08,1711.75,475464540
43030,2004,9,Ciudad de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,6248.8,6227.3,21.5,9410.63,1.51,2922.43,27501890
43099,2004,10,Durango,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,200576.2,193615.79,6960.41,374631.84,1.93,1611.03,603542980
43197,2004,11,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,439027.3,406755.38,32271.92,1638580.24,4.03,1495.08,2449813520
43292,2004,12,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,488757.25,479458.85,9298.4,1146193.7,2.39,2203.91,2526108120
43385,2004,13,Hidalgo,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,277821.23,265945.46,11875.77,618153.43,2.32,1822.73,1126724750
43519,2004,14,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,550827.25,533674.25,17153,2996379.04,5.61,1570.84,4706840350
43653,2004,15,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,545119.35,538683.19,6436.16,1564187.25,2.9,1641.81,2568096330
43828,2004,16,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,464542.42,420570.88,43971.54,1230552.63,2.93,1485.08,1827469760
43950,2004,17,Morelos,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,28353.05,28353.05,0,83965.27,2.96,2057.92,172793410
44063,2004,18,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,50538.45,50510.45,28,197861.81,3.92,1564.27,309508630
44131,2004,19,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,69407.7,68569.7,838,70312.25,1.03,1750.18,123059040
44229,2004,20,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,604238,535635.5,68602.5,694116.41,1.3,2452.35,1702217530
