AÑO,ENTIDAD,CULTIVO,VARIEDAD,UNIDAD_MEDIDA,TIPO_TECNOLOGIA,TIPO_PRODUCCION,TIPO_MERCADO,SUPERFICIE_SEMBRADA,SUPERFICIE_COSECHADA,SUPERFICIE_SINIESTRADA,VOLUMEN_PRODUCCION,RENDIMIENTO,PRECIO_MEDIO_RURAL,VALOR_PRODUCCION,TASA_SINIESTRO,EFICIENCIA_COSECHA,PRECIO_X_HECTAREA,VALOR_X_TONELADA
2002,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,148906,46202,102704,31383,0.68,1467.39,46050980,0.689723718,0.310276282,309.2620848,1467.386164
2003,Aguascalientes,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,53764,51401,2363,58660,1.14,1608.19,94336580,0.043951343,0.956048657,1754.64214,1608.192636
2003,Baja California Sur,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,2167.5,2147.5,20,14542.45,6.77,1456.4,21179660,0.00922722,0.99077278,9771.469435,1456.402463
2003,Campeche,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,158330,138054.5,20275.5,189206.83,1.37,1568.65,296798750,0.128058485,0.871941515,1874.557885,1568.647125
2003,Chiapas,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,264305.12,263018.62,1286.5,638978.23,2.43,1540.3,984217270,0.00486748,0.99513252,3723.791919,1540.298595
2003,Chihuahua,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,126970.39,42659.39,84311,172290.66,4.04,1505.64,259407900,0.664020958,0.335979042,2043.058228,1505.641107
2003,Guanajuato,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,239608.9,215068.51,24540.39,897668.86,4.17,1561.91,1402076480,0.102418525,0.897581475,5851.520874,1561.908341
2003,Guerrero,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,216902.5,213946.5,2956,508792.7,2.38,2353.61,1197500280,0.013628243,0.986371757,5520.915066,2353.611363
2003,Jalisco,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,262635.2,249448.4,13186.8,1380626.31,5.53,1556.54,2148999410,0.050209568,0.949790432,8182.450068,1556.539517
2003,Estado de México,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,80470,80445,25,238306.27,2.96,2084.75,496807910,0.000310675,0.999689325,6173.827638,2084.745441
2003,Michoacán,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,215906.35,209426.78,6479.57,577605.14,2.76,1457.17,841670420,0.030011021,0.969988979,3898.312486,1457.172663
2003,Nayarit,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,28220.75,28203.25,17.5,140770.78,4.99,1607.8,226330810,0.000620111,0.999379889,8020.013997,1607.796803
2003,Nuevo León,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,220.8,134.3,86.5,121.61,0.91,1200,145930,0.391757246,0.608242754,660.9148551,1199.983554
2003,Oaxaca,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,141707,84735,56972,110701.5,1.31,2748.08,304216270,0.402040831,0.597959169,2146.797759,2748.077217
2003,Puebla,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,10,10,0,35,3.5,3300,115500,0,1,11550,3300
