Año,Mes,Aguascalientes,Baja California,Baja California Sur,Campeche,CDMX,Chiapas,Chihuahua,Coahuila,Colima,Durango,Edo México,Guadalajara,Guanajuato,Guerrero,Hidalgo,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Pachuca,Puebla,Querétaro,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Veracruz,Yucatán,Zacatecas,Nacional
2017,abr,16.6,,16.43,16.09,16.84,16.28,16.78666667,16.4725,16.59,16.655,16.735,17.06,16.55666667,16.38,16.27,16.5925,16.36,16.78,16.815,16.45333333,16.23,16.215,16.47,16.32,16.5075,,16.02,16.13,15.95875,15.835,16.57,16.40507463
2017,may,16.54548387,,16.3783871,16.0383871,16.78580645,16.22580645,16.73333333,16.41830645,16.53580645,16.60080645,16.68064516,17.00580645,16.50247312,16.32580645,16.21548387,16.53959677,16.30580645,16.7283871,16.76064516,16.39913978,16.17580645,16.1633871,16.41580645,16.26580645,16.45330645,,15.96548387,16.07574194,15.90483871,15.7833871,16.51580645,16.35127106
2017,jun,16.41333333,,16.25333333,15.91333333,16.64688889,16.0885,16.68568966,16.30972222,16.40333333,16.4635,16.5435,16.87333333,16.36777778,16.19333333,16.08633333,16.41083333,16.17333333,16.60333333,16.70071429,16.26444444,16.04333333,16.03833333,16.28333333,16.13177778,16.31675,,15.83333333,15.91754902,15.772125,15.65833333,16.38333333,16.21356757
2017,jul,16.3116129,,16.1516129,15.8116129,16.54494624,15.9866129,16.6816129,16.1016129,16.3016129,16.3616129,16.4416129,16.7716129,16.26827957,16.0916129,15.9916129,16.3091129,16.0716129,16.5016129,,16.16494624,15.9416129,15.9366129,16.1816129,16.0316129,16.2166129,,15.7316129,15.6666129,15.6703629,15.5566129,16.2816129,16.09617431
2017,ago,16.3916129,,16.22645161,15.88645161,16.62322581,16.0666129,16.7616129,16.1816129,16.3816129,16.4416129,16.51903226,16.8516129,16.34655914,16.1716129,16.06645161,16.38653226,16.1516129,16.57645161,,16.24322581,16.0216129,16.01145161,16.2616129,16.1116129,16.29532258,,15.80645161,15.74403226,15.74907258,15.63145161,16.3616129,16.17445388
2017,sep,16.64214286,,16.47214286,16.13214286,16.8725,16.31821429,17.01214286,16.43214286,16.63214286,16.69267857,16.76767857,17.10214286,16.59583333,16.42267857,16.31214286,16.63464286,16.40267857,16.82214286,,16.49214286,16.27214286,16.25714286,16.51214286,16.36214286,16.54517857,,16.05214286,15.99214286,15.99892857,15.87714286,16.61214286,16.42363409
2017,oct,16.73,,16.55866667,16.22,16.96645161,16.415,17.108,16.52935484,16.72935484,16.78833333,16.86467742,17.19935484,16.68978495,16.51967742,16.40935484,16.72717742,16.50435484,16.91,,16.58623656,16.36935484,16.345,16.60935484,16.45935484,16.64,,16.14935484,16.08935484,16.09709677,15.965,16.70935484,16.51781818
2017,nov,16.82933333,16.92,16.77,16.31933333,17.066,16.51433333,17.14,16.65,16.82933333,17.01,16.9615,17.29933333,16.78922222,16.61933333,16.504,16.82666667,16.60433333,17.00933333,17.165,16.686,16.46966667,16.4445,16.70966667,16.55944444,16.62727273,16.99333333,16.249,16.20920635,16.19683333,16.06433333,16.80933333,16.59072084
2017,dic,16.90903226,16.96096774,16.82322581,16.39903226,17.14569892,16.59403226,17.17870968,16.84959677,16.91580645,17.05322581,17.03903226,17.37903226,16.87129032,16.70241935,16.57903226,16.90822581,16.68741935,17.08903226,17.20483871,16.77021505,16.55580645,16.53080645,16.79580645,16.64129032,16.88637097,17.02870968,16.32903226,16.49954839,16.28076613,16.14741935,16.88903226,16.77341681
2018,ene,17.48709677,17.32387097,17.17903226,16.89387097,17.64258065,17.05919355,17.63924731,17.30846774,17.36193548,17.51129032,17.54677419,17.84419355,17.36935484,17.1933871,16.9583871,17.39451613,17.22032258,17.59354839,17.54177419,17.24806452,17.08290323,17.04048387,17.29258065,17.21387097,17.28862903,17.46973118,16.77645161,17.00354839,16.76971774,16.56241935,17.47548387,17.24431664
