Año,Mes,Aguascalientes,Baja California,Baja California Sur,Campeche,Ciudad de México,Chiapas,Chihuahua,Coahuila,Colima,Durango,Edo. México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional
2007,1,9.864705882,10.61,10,9.511764706,8.292628676,8.584782609,9.363043478,9.380434783,9.341176471,7.823913043,8.278823529,8.424347826,9.912173913,8.752941176,8.715343137,8.373529412,10.63470588,9.294117647,9.081127451,8.22,8.400434783,8.929411765,10.14545455,8.7925,8.694117647,11.4275,10.66235294,9.571971831,8.311764706,9.420294118,9.09,8.435294118,8.914917588
2007,2,9.804347826,11.125,9.304347826,9,8.261304348,7.828913043,8.730869565,8.79173913,8.5,7.855217391,8.29,8.173695652,9.71,8.5,8.415217391,8.445217391,9.874347826,8.5,8.510869565,8.029565217,7.823478261,8.730434783,9.793478261,8.83,8.5,10.92898551,9.567826087,9.36826087,8,9.002608696,8.832608696,8.434782609,8.697604304
2007,3,9.626923077,11.0525,9,9,8.25,8.029230769,8.738653846,8.75,8.5,7.843461538,8.283846154,8.098653846,9.667692308,8.5,8.424615385,8.432692308,9.83,8.5,8.5,8.006538462,7.779038462,8.6,9.774038462,8.83,8.5,10.74038462,9.5,9.251769231,8,8.888269231,8.86,8,8.670153192
2007,4,9.6,11.10636364,9.109090909,9.090909091,8.25,8.04,8.704318182,8.75,8.5,7.815,8.289545455,8.065909091,9.71,8.5,8.426363636,8.43,9.83,8.5,8.5,8,7.718636364,8.7,9.625,8.845454545,8.5,10.75,9.5,9.46,8,8.666704545,8.86,8.068181818,8.666528636
2007,5,9.6,11.09021739,9.6,9.25,8.247826087,8.038695652,8.72,8.752826087,8.5,7.815,8.284347826,8.065,9.73173913,8.5,8.422391304,8.436086957,9.83,8.5,8.5,8.014782609,7.761521739,8.8,9.619565217,8.847391304,8.5,10.83333333,9.5,9.486086957,8,8.54076087,8.79,8.5,8.673592957
2007,6,9.6,11.15,9.6,9.25,8.245,8.182142857,8.72,8.753095238,8.5,7.815,8.29,8.065,9.835,8.5,8.440952381,8.43,9.83,8.5,8.5,8.008095238,7.751904762,8.8,9.625,8.85,8.5,10.83333333,9.5,9.56,8,8.526785714,8.79,8.5,8.685619333
2007,7,9.6,11.15,9.6,9.25,8.245,8.25,8.714,8.75,8.5,7.815,8.29,8.065,9.835,8.5,8.44,8.43,9.83,8.5,8.5,8.034,7.754,8.8,9.625,8.85,8.5,10.83333333,9.5,9.56,8,8.5625,8.804,8.5,8.6875614
2007,8,9.6,11.15,9.6,9.25,8.245,8.25,8.72,8.75,8.5,7.815,8.29,8.065,9.835,8.5,8.44,8.43,9.83,8.5,8.5,8,7.77,8.8,9.625,8.85,8.5,10.83333333,9.5,9.56,8,8.5625,8.86,8.5,8.689521
2007,9,9.6,11.15,9.6,9.25,8.245,8.25,8.6575,8.75,8.5,7.9075,8.29,8.065,9.835,8.5,8.44,8.43,9.83,8.5,8.5,8,7.77,8.8,9.625,8.91,8.5,10.83333333,9.5,9.56,8,8.578125,8.86,8.5,8.690735
2007,10,9.6,11.15,9.6,9.25,8.245,8.25,8.72,8.815,8.5,8,8.29,8.039,9.835,8.5,8.44,8.5,9.83,8.5,8.5,8,7.77,8.8,9.625,8.77,8.5,10.83333333,9.5,9.56,8,8.575,8.86,8.5,8.6938684
