Año,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
1991,2.9509,2.962931579,2.973655556,2.986209091,2.999081818,3.01082,3.02283913,3.035481818,3.04754,3.059882609,3.068584211,3.070921053
1992,3.067722727,3.062905263,3.066768182,3.069405,3.101836842,3.119163636,3.115569565,3.088104762,3.089295238,3.124452381,3.118315789,3.118880952
1993,3.10869,3.097842105,3.107969565,3.097575,3.123345,3.121109091,3.12365,3.112113636,3.113185714,3.11522,3.15307,3.107963636
1994,3.107204762,3.121125,3.299355,3.34559,3.31667619,3.366704545,3.40192381,3.380791304,3.400957143,3.41952381,3.442835,4.083595
1995,5.625340909,5.6695,6.772159091,6.206383333,5.986071429,6.226881818,6.124990476,6.205521739,6.313405,6.749827273,7.705585,7.680731579
1996,7.476,7.524025,7.56874,7.461695,7.432604545,7.56035,7.620617391,7.511504545,7.544045,7.726265217,7.90602,7.874075
1997,7.826986364,7.800326316,7.964705556,7.907436364,7.900635,7.950204762,7.872152174,7.782847619,7.78048,7.860291304,8.268926316,8.121852381
1998,8.21767619,8.501352632,8.567604545,8.496535,8.593384211,8.913127273,8.895973913,9.3633,10.230725,10.15356364,9.968163158,9.905690909
1999,10.13513,9.993884211,9.7316,9.41846,9.410515,9.513881818,9.365704545,9.396595455,9.335775,9.566738095,9.398809524,9.424886364
2000,9.48777619,9.425157143,9.287577273,9.390327778,9.515809524,9.829540909,9.4212,9.270943478,9.354014286,9.531359091,9.5004,9.466155556
2001,9.776581818,9.704489474,9.600552381,9.326810526,9.137172727,9.086728571,9.161818182,9.130752174,9.418855,9.344991304,9.223638095,9.156078947
2002,9.161595455,9.099805263,9.070744444,9.162854545,9.519177273,9.76519,9.780752174,9.839609091,10.07136,10.09503043,10.19745,10.224915
2003,10.62031364,10.93716316,10.91239,10.59174,10.25119524,10.50468095,10.45024348,10.78114286,10.92688571,11.17476522,11.14497895,11.24858571
2004,10.91507143,11.01417368,11.00941304,11.27506,11.51242857,11.38939091,11.46359091,11.39417727,11.48639048,11.39831905,11.36814545,11.2041087
2005,11.2607381,11.136725,11.1427,11.11629524,10.97325909,10.82277727,10.67814286,10.68821739,10.77754286,10.83244286,10.66845455,10.62945238
2006,10.54700455,10.48327895,10.74676364,11.04212222,11.09228182,11.39126364,10.98578571,10.87196522,10.98530952,10.89714545,10.91773,10.84786667
2007,10.95286364,10.9998,11.1138619,10.98058421,10.81669091,10.83497619,10.81093182,11.04563478,11.031495,10.82314348,10.88664,10.84839474
2008,10.91001364,10.76653,10.73131111,10.51535,10.43515238,10.32920952,10.21551739,10.10950952,10.64368571,12.63138696,13.11395263,13.42263333
2009,13.89211429,14.59664211,14.66952857,13.436745,13.162085,13.34179545,13.3654087,13.00803333,13.42115238,13.22565909,13.10936842,12.86309091
2010,12.801855,12.94241579,12.57365909,12.23015,12.74282381,12.71933182,12.81887273,12.76946364,12.799745,12.43738095,12.33906,12.3884913
2011,12.12584762,12.07032105,11.99917273,11.7184,11.65329545,11.80601818,11.67255714,12.23191304,13.04451905,13.43500476,13.69929,13.76888095
2012,13.41777727,12.78306,12.7567,13.06967368,13.66338182,13.91920476,13.36608182,13.18452174,12.939435,12.891,13.0746,12.87047895
2013,12.699,12.72288421,12.52472222,12.20504091,12.31148636,12.959575,12.76585652,12.91780909,13.075905,12.99921739,13.079555,13.00755
2014,13.22302273,13.28077895,13.195085,13.070835,12.92473333,12.9957619,12.99044348,13.1406381,13.23520476,13.47625217,13.62160526,14.51289524
2015,14.69258571,14.92134211,15.2283381,15.22618,15.26447,15.48303636,15.93958261,16.53675714,16.8577619,16.56400455,16.63568947,17.06662273
2016,18.072775,18.4731,17.649045,17.48767619,18.15418636,18.65296818,18.60144286,18.47486522,19.19240952,18.89241429,20.118465,20.52057619
2017,21.38527273,20.29053684,19.30102727,18.78748333,18.75566364,18.13261364,17.8283381,17.80703043,17.83565238,18.81609545,18.915785,19.18122105
2018,18.90739091,18.64493684,18.63084211,18.38718571,19.59099545,20.3032,19.00951818,18.8575087,19.01543,19.18586522,20.26117,20.11117895
2019,19.1651,19.20487895,19.24774,18.98635,19.11965455,19.27447,19.05339565,19.68504091,19.586505,19.32418261,19.332475,19.107085
2020,18.80401818,18.84432105,22.3784,24.26584,23.42302,22.29895909,22.40328261,22.2071619,21.68098095,21.2705,20.38191579,19.96507727
2021,19.921475,20.30973158,20.75545,20.015285,19.96312857,20.03006818,19.97010909,20.07613636,20.04869048,20.46255714,20.900425,20.89184348
2022,20.49777143,20.44952105,20.55620909,20.10880526,20.03052727,20.02373636,20.54672381,20.12093043,20.07502381,19.98454286,19.444915,19.5929619
2023,18.98633636,18.59856842,18.37490455,18.08549444,17.7373,17.24120455,16.9049381,16.97664348,17.30769048,18.08233182,17.376695,17.18598947
2024,17.08731818,17.089775,16.79178889,16.81044091,16.79356364,18.21737,18.1116913,19.15148182,19.63163,19.70618182,20.34549,20.266055
2025,20.54901818,20.45713684,20.241745,20.056355,19.43549524,19.02998095,18.69093043,18.70632857,18.49900952,18.42958261,18.41848421,18.07389524
2026,17.6449,17.22276842,17.76921429,17.41873,17.29102857,,,,,,,
